Sample,Time_us,Raw_u16,Voltage_V
328,328014,44042,2.217725
329,329008,31351,1.578672
330,330014,19428,0.978292
331,331011,12787,0.643886
332,332015,13763,0.693033
333,333011,22101,1.112891
334,334015,34840,1.754360
335,335011,46587,2.345878
336,336008,53565,2.697253
337,337014,52556,2.646445
338,338013,44186,2.224976
339,339011,31591,1.590758
340,340015,19572,0.985544
341,341011,12739,0.641469
342,342015,13715,0.690616
343,343011,22085,1.112085
344,344008,34616,1.743081
345,345010,46555,2.344266
346,346015,53405,2.689196
347,347011,52444,2.640806
348,348008,44138,2.222559
349,349012,31447,1.583506
350,350008,19412,0.977487
351,351012,12691,0.639052
352,352009,13491,0.679336
353,353011,21925,1.104028
354,354009,34504,1.737441
355,355013,46539,2.343460
356,356010,53357,2.686780
357,357014,52604,2.648862
358,358010,44202,2.225782
359,359014,31527,1.587535
360,360010,19604,0.987155
361,361014,12739,0.641469
362,362014,13747,0.692227
363,363010,22117,1.113696
364,364014,34824,1.753555
365,365010,46619,2.347489
366,366014,53501,2.694030
367,367011,52476,2.642417
368,368015,44138,2.222559
369,369011,31511,1.586729
370,370008,19524,0.983127
371,371012,12755,0.642275
372,372009,13651,0.687393
373,373013,22053,1.110474
374,374009,34600,1.742275
375,375013,46747,2.353934
376,376009,53453,2.691614
377,377013,52524,2.644834
378,378011,44122,2.221753
379,379015,31463,1.584312
380,380011,19636,0.988766
381,381015,12691,0.639052
382,382011,13731,0.691421
383,383008,22037,1.109668
384,384012,34696,1.747109
385,385009,46603,2.346684
386,386008,53357,2.686780
387,387012,52476,2.642417
388,388008,44186,2.224976
389,389012,31463,1.584312
390,390009,19460,0.979904
391,391013,12675,0.638247
392,392009,13731,0.691421
393,393014,22149,1.115308
394,394012,34728,1.748720
395,395009,46699,2.351518
396,396012,53581,2.698059
397,397009,52588,2.648057
398,398013,44186,2.224976
399,399009,31559,1.589146
400,400013,19572,0.985544
401,401010,12739,0.641469
402,402015,13699,0.689810
403,403011,22101,1.112891
404,404008,34664,1.745498
405,405012,46635,2.348295
406,406008,53437,2.690808
407,407012,52524,2.644834
408,408009,44170,2.224170
409,409015,31447,1.583506
410,410012,19540,0.983932
411,411008,12755,0.642275
412,412012,13715,0.690616
413,413009,22021,1.108862
414,414013,34728,1.748720
415,415009,46651,2.349100
416,416013,53453,2.691614
417,417011,52476,2.642417
418,418009,44138,2.222559
419,419013,31527,1.587535
420,420009,19588,0.986349
421,421013,12755,0.642275
422,422009,13715,0.690616
423,423013,22053,1.110474
424,424010,34648,1.744692
425,425009,46619,2.347489
426,426013,53469,2.692419
427,427009,52508,2.644028
428,428013,44138,2.222559
429,429010,31559,1.589146
430,430014,19508,0.982321
431,431010,12803,0.644692
432,432014,13763,0.693033
433,433013,22053,1.110474
434,434010,34632,1.743886
435,435014,46651,2.349100
436,436010,53357,2.686780
437,437014,52380,2.637583
438,438011,43994,2.215308
439,439015,31383,1.580284
440,440011,19348,0.974264
441,441010,12771,0.643081
442,442015,13747,0.692227
443,443011,22037,1.109668
444,444008,34696,1.747109
445,445012,46667,2.349906
446,446008,53517,2.694836
447,447012,52572,2.647251
448,448009,44234,2.227393
449,449008,31607,1.591563
450,450014,19540,0.983932
451,451010,12771,0.643081
452,452014,13747,0.692227
453,453011,22069,1.111280
454,454015,34696,1.747109
455,455011,46651,2.349100
456,456015,53437,2.690808
457,457013,52444,2.640806
458,458012,44138,2.222559
459,459010,31543,1.588340
460,460014,19524,0.983127
461,461010,12755,0.642275
462,462014,13763,0.693033
463,463010,22069,1.111280
464,464014,34696,1.747109
465,465013,46619,2.347489
466,466010,53421,2.690002
467,467014,52412,2.639194
468,468010,44138,2.222559
469,469014,31463,1.584312
470,470011,19524,0.983127
471,471015,12723,0.640664
472,472011,13651,0.687393
473,473013,22085,1.112085
474,474010,34552,1.739858
475,475014,46651,2.349100
476,476011,53421,2.690002
477,477015,52444,2.640806
478,478011,44090,2.220142
479,479015,31463,1.584312
480,480011,19540,0.983932
481,481012,12707,0.639858
482,482009,13859,0.697867
483,483013,22101,1.112891
484,484009,34632,1.743886
485,485013,46603,2.346684
486,486010,53389,2.688391
487,487014,52428,2.640000
488,488010,44090,2.220142
489,489011,31559,1.589146
490,490009,19604,0.987155
491,491013,12755,0.642275
492,492010,13715,0.690616
493,493014,22117,1.113696
494,494010,34680,1.746303
495,495014,46827,2.357963
496,496010,53581,2.698059
497,497011,52588,2.648057
498,498009,44250,2.228198
499,499013,31511,1.586729
500,500009,19572,0.985544
501,501013,12771,0.643081
502,502010,13715,0.690616
503,503014,22101,1.112891
504,504010,34648,1.744692
505,505011,46667,2.349906
506,506008,53389,2.688391
507,507012,52460,2.641611
508,508008,44122,2.221753
509,509012,31431,1.582701
510,510009,19524,0.983127
511,511013,12755,0.642275
512,512009,13683,0.689004
513,513010,22069,1.111280
514,514008,34600,1.742275
515,515012,46571,2.345072
516,516008,53421,2.690002
517,517012,52476,2.642417
518,518009,44122,2.221753
519,519013,31511,1.586729
520,520009,19524,0.983127
521,521011,12739,0.641469
522,522015,13699,0.689810
523,523011,21989,1.107251
524,524008,34744,1.749526
525,525012,46731,2.353129
526,526008,53565,2.697253
527,527012,52492,2.643222
528,528009,44202,2.225782
529,529010,31591,1.590758
530,530014,19508,0.982321
531,531010,12771,0.643081
532,532014,13731,0.691421
533,533011,22021,1.108862
534,534015,34696,1.747109
535,535011,46683,2.350712
536,536015,53453,2.691614
537,537009,52476,2.642417
538,538013,43994,2.215308
539,539010,31511,1.586729
540,540014,19588,0.986349
541,541010,12707,0.639858
542,542014,13667,0.688199
543,543010,22037,1.109668
544,544014,34712,1.747915
545,545009,46475,2.340238
546,546013,53309,2.684362
547,547009,52556,2.646445
548,548013,44282,2.229810
549,549010,31607,1.591563
550,550014,19556,0.984738
551,551010,12771,0.643081
552,552014,13715,0.690616
553,553009,21973,1.106445
554,554015,34536,1.739052
555,555013,46731,2.353129
556,556010,53485,2.693225
557,557014,52364,2.636777
558,558010,44186,2.224976
559,559014,31575,1.589952
560,560010,19636,0.988766
561,561013,12675,0.638247
562,562010,13731,0.691421
563,563014,21893,1.102417
564,564010,34472,1.735830
565,565014,46539,2.343460
566,566010,53325,2.685168
567,567014,52364,2.636777
568,568011,44138,2.222559
569,569013,31399,1.581090
570,570011,19492,0.981515
571,571015,12627,0.635830
572,572011,13539,0.681753
573,573015,21909,1.103223
574,574011,34504,1.737441
575,575008,46715,2.352323
576,576012,53629,2.700476
577,577015,52524,2.644834
578,578015,43962,2.213696
579,579011,31591,1.590758
580,580015,19572,0.985544
581,581011,12771,0.643081
582,582008,13683,0.689004
